Brand,Model,Year,Age,Kilometer,Fuel Type,Engine,Max Power,Transmission,Seats,Price
Maruti,Swift Dzire VXI,2014,11,100000,Petrol,1197,86,Manual,5,450000
Maruti,Swift Dzire VXI,2014,11,60000,Petrol,1197,86,Manual,5,470000
Maruti,Swift Dzire VXI,2014,11,40000,Petrol,1197,86,Manual,5,475000
Maruti,Swift Dzire VXI,2014,11,72000,Petrol,1197,86,Manual,5,480000
Maruti,Swift Dzire VXI,2014,11,35000,Petrol,1197,86,Manual,5,487000
Maruti,Swift Dzire VXI,2014,11,45000,Petrol,1197,86,Manual,5,500000
Maruti,Swift Dzire VXI,2014,11,30000,Petrol,1197,86,Manual,5,550000
Maruti,Swift Dzire VXI,2015,10,80000,Petrol,1197,83,Manual,5,450000
Maruti,Swift Dzire VXI,2015,10,117000,Petrol,1197,83,Manual,5,500000
Maruti,Swift Dzire VXI,2015,10,30000,Petrol,1197,83,Manual,5,511000
Maruti,Swift Dzire VXI,2015,10,45000,Petrol,1197,83,Manual,5,515000
Maruti,Swift Dzire VXI,2015,10,20000,Petrol,1197,83,Manual,5,525000
Maruti,Swift Dzire VXI,2015,10,93000,Petrol,1197,83,Manual,5,540000
Maruti,Swift Dzire VXI,2015,10,50000,Petrol,1197,83,Manual,5,550000
Maruti,Swift Dzire VXI,2015,10,16000,Petrol,1197,86,Manual,5,575000
Maruti,Swift Dzire VXI,2016,9,60000,Petrol,1197,83,Manual,5,459999
Maruti,Swift Dzire VXI,2016,9,80000,Petrol,1197,83,Manual,5,488000
Maruti,Swift Dzire VXI,2016,9,30000,Petrol,1197,83,Manual,5,500000
Maruti,Swift Dzire VXI,2016,9,40000,Petrol,1197,83,Manual,5,500000
Maruti,Swift Dzire VXI,2016,9,35000,Petrol,1197,83,Manual,5,574000
Maruti,Swift Dzire VXI,2017,8,43000,Petrol,1197,83,Manual,5,500000
Maruti,Swift Dzire VXI,2017,8,70000,Petrol,1197,83,Manual,5,525000
Maruti,Swift Dzire VXI,2017,8,50000,Petrol,1197,83,Manual,5,550000
Maruti,Swift Dzire VXI,2017,8,40000,Petrol,1197,83,Manual,5,595000
Maruti,Swift Dzire VXI 1.2,2017,8,20000,Petrol,1197,82,Manual,5,550000
Maruti,Swift Dzire VXI 1.2,2018,7,25000,Petrol,1197,82,Manual,5,600000
Maruti,Swift Dzire VXI 1.2,2018,7,15000,Petrol,1197,82,Manual,5,630000
Maruti,Swift Dzire VXI 1.2,2018,7,15000,Petrol,1197,82,Manual,5,650000
Maruti,Swift Dzire VXI 1.2,2019,6,25000,Petrol,1197,82,Manual,5,655000
Maruti,Swift Dzire VXI 1.2,2019,6,10000,Petrol,1197,82,Manual,5,675000
Maruti,Swift Dzire VXI 1.2,2019,6,5000,Petrol,1197,82,Manual,5,675000
Maruti,Swift Dzire VXI 1.2,2020,5,1500,Petrol,1197,82,Manual,5,730000
Maruti,Swift Dzire VXI 1.2 BS IV,2017,8,90000,Petrol,1197,82,Manual,5,620000
Maruti,Swift Dzire VXI 1.2 BS IV,2017,8,21000,Petrol,1197,82,Manual,5,650000
Maruti,Swift Dzire VXI 1.2 BS IV,2018,7,35000,Petrol,1197,82,Manual,5,650000
Maruti,Swift Dzire VXi AT,2012,13,120000,Petrol,1197,86,Automatic,5,420000
Maruti,Swift Dzire VXi AT,2018,7,23300,Petrol,1197,83,Automatic,5,675000
Maruti,Swift Dzire VXI Optional,2016,9,37000,Petrol,1197,83,Manual,5,550000
Maruti,Swift Dzire ZDi,2008,17,147000,Diesel,1248,74,Manual,5,200000
Maruti,Swift Dzire ZDi,2008,17,90000,Diesel,1248,74,Manual,5,250000
Maruti,Swift Dzire ZDi,2008,17,149000,Diesel,1248,74,Manual,5,270000
Maruti,Swift Dzire ZDi,2008,17,175802,Diesel,1248,74,Manual,5,320000
Maruti,Swift Dzire ZDi,2009,16,120000,Diesel,1248,74,Manual,5,382000
Maruti,Swift Dzire ZDi,2010,15,100000,Diesel,1248,74,Manual,5,320000
Maruti,Swift Dzire ZDi,2011,14,90000,Diesel,1248,74,Manual,5,265000
Maruti,Swift Dzire ZDi,2011,14,120000,Diesel,1248,74,Manual,5,300000
Maruti,Swift Dzire ZDi,2011,14,70000,Diesel,1248,74,Manual,5,310000
Maruti,Swift Dzire ZDi,2011,14,110000,Diesel,1248,74,Manual,5,320000
Maruti,Swift Dzire ZDi,2011,14,120000,Diesel,1248,74,Manual,5,350000
Maruti,Swift Dzire ZDi,2012,13,193000,Diesel,1248,74,Manual,5,320000
Maruti,Swift Dzire ZDi,2012,13,110000,Diesel,1248,74,Manual,5,340000
Maruti,Swift Dzire ZDi,2012,13,70000,Diesel,1248,74,Manual,5,375000
Maruti,Swift Dzire ZDI,2012,13,100000,Diesel,1248,74,Manual,5,625000
Maruti,Swift Dzire ZDI,2013,12,80000,Diesel,1248,74,Manual,5,375000
Maruti,Swift Dzire ZDI,2013,12,80235,Diesel,1248,74,Manual,5,409999
Maruti,Swift Dzire ZDI,2013,12,149000,Diesel,1248,74,Manual,5,475000
Maruti,Swift Dzire ZDI,2013,12,240000,Diesel,1248,74,Manual,5,550000
Maruti,Swift Dzire ZDI,2014,11,90000,Diesel,1248,74,Manual,5,420000
Maruti,Swift Dzire ZDI,2014,11,65000,Diesel,1248,74,Manual,5,459999
Maruti,Swift Dzire ZDI,2014,11,90000,Diesel,1248,74,Manual,5,600000
Maruti,Swift Dzire ZDI,2014,11,50000,Diesel,1248,74,Manual,5,600000
Maruti,Swift Dzire ZDI,2015,10,40000,Diesel,1248,74,Manual,5,525000
Maruti,Swift Dzire ZDI,2015,10,72000,Diesel,1248,74,Manual,5,570000
Maruti,Swift Dzire ZDI,2015,10,57000,Diesel,1248,74,Manual,5,575000
Maruti,Swift Dzire ZDI,2015,10,50000,Diesel,1248,74,Manual,5,590000
Maruti,Swift Dzire ZDI,2015,10,32000,Diesel,1248,74,Manual,5,615000
Maruti,Swift Dzire ZDI,2015,10,147000,Diesel,1248,74,Manual,5,630000
Maruti,Swift Dzire ZDI,2016,9,55000,Diesel,1248,74,Manual,5,550000
Maruti,Swift Dzire ZDI,2017,8,50000,Diesel,1248,74,Manual,5,695000
Maruti,Swift Dzire ZDI,2017,8,70000,Diesel,1248,74,Manual,5,700000
Maruti,Swift Dzire ZDI,2017,8,110000,Diesel,1248,74,Manual,5,750000
Maruti,Swift Dzire ZDI,2017,8,40000,Diesel,1248,74,Manual,5,754000
Maruti,Swift Dzire ZDI,2018,7,50000,Diesel,1248,74,Manual,5,740000
Maruti,Swift Dzire ZDI,2018,7,30000,Diesel,1248,74,Manual,5,780000
Maruti,Swift Dzire ZDI,2019,6,24000,Diesel,1248,74,Manual,5,802999
Maruti,Swift Dzire Zdi BSIV,2012,13,129000,Diesel,1248,74,Manual,5,400000
Maruti,Swift Dzire ZDI Plus,2017,8,70000,Diesel,1248,74,Manual,5,655000
Maruti,Swift Dzire ZDI Plus,2017,8,60000,Diesel,1248,74,Manual,5,725000
Maruti,Swift Dzire ZDI Plus,2017,8,50000,Diesel,1248,74,Manual,5,900000
Maruti,Swift Dzire ZDI Plus,2018,7,30000,Diesel,1248,74,Manual,5,800000
Maruti,Swift Dzire ZDI Plus,2019,6,20000,Diesel,1248,74,Manual,5,900000
Maruti,Swift Dzire ZXi,2011,14,15000,Petrol,1298,86,Manual,5,335000
Maruti,Swift Dzire ZXi,2012,13,90000,Petrol,1298,86,Manual,5,355000
Maruti,Swift Dzire ZXI,2015,10,7967,Petrol,1197,83,Manual,5,600000
Maruti,Swift Dzire ZXI,2016,9,36000,Petrol,1197,83,Manual,5,620000
Maruti,Swift Dzire ZXI,2017,8,70000,Petrol,1197,83,Manual,5,650000
Maruti,Swift Dzire ZXI Plus,2018,7,41779,Petrol,1197,82,Manual,5,795000
Maruti,Swift Dzire ZXI Plus BS IV,2017,8,80000,Petrol,1197,82,Manual,5,700000
Maruti,Swift Glam,2007,18,78000,Petrol,1298,88,Manual,5,170000
Maruti,Swift LDI,2013,12,90000,Diesel,1248,74,Manual,5,370000
Maruti,Swift LDI,2015,10,59292,Diesel,1248,74,Manual,5,495000
Maruti,Swift LDI,2018,7,100000,Diesel,1248,74,Manual,5,509999
Maruti,Swift Ldi BSIII,2007,18,150000,Diesel,1248,75,Manual,5,250000
Maruti,Swift Ldi BSIII,2008,17,120000,Diesel,1248,75,Manual,5,170000
Maruti,Swift Ldi BSIII,2008,17,120000,Diesel,1248,75,Manual,5,175000
Maruti,Swift Ldi BSIII,2008,17,152500,Diesel,1248,75,Manual,5,235000
Maruti,Swift Ldi BSIII,2008,17,100000,Diesel,1248,75,Manual,5,290000
Maruti,Swift Ldi BSIV,2007,18,100000,Diesel,1248,75,Manual,5,250000
Maruti,Swift Ldi BSIV,2009,16,100000,Diesel,1248,75,Manual,5,221000
Maruti,Swift Ldi BSIV,2009,16,117000,Diesel,1248,75,Manual,5,279000
Maruti,Swift Ldi BSIV,2010,15,130000,Diesel,1248,75,Manual,5,320000
Maruti,Swift Ldi BSIV,2010,15,176062,Diesel,1248,75,Manual,5,400000
Maruti,Swift LDI BSIV,2014,11,70000,Diesel,1248,74,Manual,5,360000
Maruti,Swift LDI Optional,2017,8,60000,Diesel,1248,74,Manual,5,455000
Maruti,Swift LDI SP Limited Edition,2015,10,35000,Diesel,1248,74,Manual,5,500000
Maruti,Swift LXI,2011,14,50000,Petrol,1197,86,Manual,5,275000
Maruti,Swift LXI,2011,14,55403,Petrol,1197,86,Manual,5,277000
Maruti,Swift LXI,2017,8,26000,Petrol,1197,82,Manual,5,484999
Maruti,Swift LXI,2019,6,15000,Petrol,1197,82,Manual,5,500000
Maruti,Swift LXI,2019,6,10000,Petrol,1197,82,Manual,5,509999
Maruti,Swift LXI,2020,5,1000,Petrol,1197,82,Manual,5,445000
Maruti,Swift Lxi BSIII,2007,18,136000,Petrol,1298,88,Manual,5,220000
Maruti,Swift LXi BSIV,2018,7,28000,Petrol,1197,85,Manual,5,490000
Maruti,Swift LXI Option,2014,11,50000,Petrol,1197,82,Manual,5,400000
Maruti,Swift LXI Option,2018,7,12000,Petrol,1197,82,Manual,5,459999
Maruti,Swift LXI Optional-O,2015,10,100000,Petrol,1197,83,Manual,5,350000
Maruti,Swift LXI Optional-O,2015,10,50000,Petrol,1197,83,Manual,5,400000
Maruti,Swift LXI Optional-O,2015,10,36000,Petrol,1197,83,Manual,5,420000
Maruti,Swift Star VDI,2013,12,70000,Diesel,1248,74,Manual,5,400000
Maruti,Swift Star VDI,2013,12,120000,Diesel,1248,74,Manual,5,450000
Maruti,Swift VDI,2011,14,100000,Diesel,1248,74,Manual,5,235000
Maruti,Swift VDI,2011,14,210000,Diesel,1248,74,Manual,5,280000
Maruti,Swift VDI,2011,14,70000,Diesel,1248,74,Manual,5,300000
Maruti,Swift VDI,2011,14,70000,Diesel,1248,74,Manual,5,325000
Maruti,Swift VDI,2011,14,90000,Diesel,1248,74,Manual,5,375000
Maruti,Swift VDI,2011,14,72000,Diesel,1248,74,Manual,5,400000
Maruti,Swift VDI,2011,14,60000,Diesel,1248,74,Manual,5,400000
Maruti,Swift VDI,2012,13,70000,Diesel,1248,74,Manual,5,280000
Maruti,Swift VDI,2012,13,110000,Diesel,1248,74,Manual,5,300000
Maruti,Swift VDI,2012,13,120000,Diesel,1248,74,Manual,5,320000
Maruti,Swift VDI,2012,13,80000,Diesel,1248,74,Manual,5,325000
Maruti,Swift VDI,2012,13,90000,Diesel,1248,74,Manual,5,325000
Maruti,Swift VDI,2012,13,50000,Diesel,1248,74,Manual,5,330000
Maruti,Swift VDI,2012,13,145000,Diesel,1248,74,Manual,5,350000
Maruti,Swift VDI,2012,13,60000,Diesel,1248,74,Manual,5,370000
Maruti,Swift VDI,2012,13,70000,Diesel,1248,74,Manual,5,380000
Maruti,Swift VDI,2012,13,100000,Diesel,1248,74,Manual,5,380000
Maruti,Swift VDI,2012,13,90000,Diesel,1248,74,Manual,5,400000
Maruti,Swift VDI,2012,13,90000,Diesel,1248,74,Manual,5,416000
Maruti,Swift VDI,2012,13,56000,Diesel,1248,74,Manual,5,425000
Maruti,Swift VDI,2012,13,97000,Diesel,1248,74,Manual,5,450000
Maruti,Swift VDI,2013,12,120000,Diesel,1248,74,Manual,5,300000
Maruti,Swift VDI,2013,12,100000,Diesel,1248,74,Manual,5,320000
Maruti,Swift VDI,2013,12,90000,Diesel,1248,74,Manual,5,335000
Maruti,Swift VDI,2013,12,60000,Diesel,1248,74,Manual,5,350000
Maruti,Swift VDI,2013,12,85000,Diesel,1248,74,Manual,5,350000
Maruti,Swift VDI,2013,12,110000,Diesel,1248,74,Manual,5,350000
Maruti,Swift VDI,2013,12,170000,Diesel,1248,74,Manual,5,355000
Maruti,Swift VDI,2013,12,97000,Diesel,1248,74,Manual,5,360000
Maruti,Swift VDI,2013,12,96000,Diesel,1248,74,Manual,5,370000
Maruti,Swift VDI,2013,12,77000,Diesel,1248,74,Manual,5,375000
Maruti,Swift VDI,2013,12,65000,Diesel,1248,74,Manual,5,375000
Maruti,Swift VDI,2013,12,76000,Diesel,1248,74,Manual,5,380000
Maruti,Swift VDI,2013,12,57000,Diesel,1248,74,Manual,5,380000
Maruti,Swift VDI,2013,12,120000,Diesel,1248,74,Manual,5,390000
Maruti,Swift VDI,2013,12,188000,Diesel,1248,74,Manual,5,400000
Maruti,Swift VDI,2013,12,90000,Diesel,1248,74,Manual,5,409999
Maruti,Swift VDI,2013,12,100000,Diesel,1248,74,Manual,5,409999
Maruti,Swift VDI,2013,12,86000,Diesel,1248,74,Manual,5,430000
Maruti,Swift VDI,2013,12,70000,Diesel,1248,74,Manual,5,445000
Maruti,Swift VDI,2013,12,108800,Diesel,1248,74,Manual,5,450000
Maruti,Swift VDI,2013,12,67000,Diesel,1248,74,Manual,5,450000
Maruti,Swift VDI,2013,12,24019,Diesel,1248,74,Manual,5,450000
Maruti,Swift VDI,2013,12,120000,Diesel,1248,74,Manual,5,470000
Maruti,Swift VDI,2013,12,53000,Diesel,1248,74,Manual,5,500000
Maruti,Swift VDI,2013,12,69000,Diesel,1248,74,Manual,5,525000
Maruti,Swift VDI,2014,11,53190,Diesel,1248,74,Manual,5,450000
Maruti,Swift VDI,2014,11,40000,Diesel,1248,74,Manual,5,455000
Maruti,Swift VDI,2014,11,67000,Diesel,1248,74,Manual,5,490000
Maruti,Swift VDI,2014,11,77000,Diesel,1248,74,Manual,5,500000
Maruti,Swift VDI,2014,11,68000,Diesel,1248,74,Manual,5,501000
Maruti,Swift VDI,2015,10,87847,Diesel,1248,74,Manual,5,480000
Maruti,Swift VDI,2015,10,45000,Diesel,1248,74,Manual,5,550000
Maruti,Swift VDI,2018,7,46000,Diesel,1248,74,Manual,5,630000
Maruti,Swift VDI,2018,7,62000,Diesel,1248,74,Manual,5,671000
Maruti,Swift VDI,2018,7,23000,Diesel,1248,74,Manual,5,675000
Maruti,Swift VDI,2018,7,26000,Diesel,1248,74,Manual,5,685000
Maruti,Swift VDI,2018,7,39000,Diesel,1248,74,Manual,5,755000
Maruti,Swift VDI,2019,6,15000,Diesel,1248,74,Manual,5,630000
Maruti,Swift VDI,2019,6,20000,Diesel,1248,74,Manual,5,690000
Maruti,Swift Vdi BSIII,2007,18,90000,Diesel,1248,75,Manual,5,185000
Maruti,Swift Vdi BSIII,2008,17,60000,Diesel,1248,75,Manual,5,175000
Maruti,Swift Vdi BSIII,2008,17,90000,Diesel,1248,75,Manual,5,195000
Maruti,Swift Vdi BSIII,2008,17,90000,Diesel,1248,75,Manual,5,260000
Maruti,Swift Vdi BSIII,2008,17,100000,Diesel,1248,75,Manual,5,260000
Maruti,Swift Vdi BSIII,2008,17,120000,Diesel,1248,75,Manual,5,260000
Maruti,Swift Vdi BSIII,2009,16,105000,Diesel,1248,75,Manual,5,250000
Maruti,Swift Vdi BSIII,2009,16,151000,Diesel,1248,75,Manual,5,250000
Maruti,Swift Vdi BSIII,2009,16,150000,Diesel,1248,75,Manual,5,300000
Maruti,Swift Vdi BSIII,2009,16,100000,Diesel,1248,75,Manual,5,307000
Maruti,Swift Vdi BSIII,2010,15,190000,Diesel,1248,75,Manual,5,200000
